ticker,sales,purchases,net_activity
A,1,0,-1
AAPL,2,11,9
ABT,1,0,-1
ACGL,1,0,-1
ADBE,1,1,0
ADI,1,0,-1
ADP,1,0,-1
ADSK,1,0,-1
AEO,1,1,0
AIG,1,0,-1
AKAM,1,0,-1
ALB,1,0,-1
ALNY,1,0,-1
AMAT,2,0,-2
AMD,1,1,0
AMGN,1,0,-1
AMT,1,0,-1
AMZN,1,7,6
ANET,2,0,-2
AON,1,0,-1
APP,1,0,-1
APTV,2,0,-2
ARES,1,0,-1
AVGO,1,0,-1
AWK,1,0,-1
AXON,1,0,-1
AXP,1,1,0
AZO,1,0,-1
CB,1,0,-1
CI,0,2,2
CMG,0,1,1
CRM,0,1,1
CSCO,0,1,1
ESTC,1,0,-1
GLA,0,1,1
GLAS,0,2,2
GOOG,0,2,2
GWRE,1,0,-1
HCA,0,2,2
INTC,1,0,-1
JPM,1,1,0
LULU,1,0,-1
MCD,1,1,0
META,0,1,1
MMM,1,0,-1
MSFT,0,3,3
NGD,0,1,1
NU,1,0,-1
NVDA,0,13,13
OKTA,1,0,-1
PFE,1,0,-1
PLTR,0,2,2
SNOW,0,2,2
T,0,1,1
TSCO,0,1,1
TSLA,0,1,1
TSM,0,1,1
UNH,3,0,-3
VEEV,0,1,1
