ticker,sales,purchases,net_activity
ACEL,2,0,-2
ACMR,1,0,-1
AERG,1,0,-1
AKAM,1,0,-1
AMZN,1,0,-1
BASE,1,0,-1
BMNR,0,1,1
CNTA,1,0,-1
COIN,18,0,-18
CRSP,0,3,3
DASH,3,0,-3
DAY,2,0,-2
DDOG,3,0,-3
DELL,1,0,-1
DLHC,0,2,2
DXCM,2,0,-2
EBAY,1,0,-1
FIS,0,1,1
FOA,1,0,-1
FSLY,2,0,-2
GABC,0,5,5
GRAL,1,0,-1
GTLB,3,0,-3
INCY,2,0,-2
KBH,1,0,-1
NAMS,3,0,-3
NKE,1,0,-1
NOW,1,0,-1
NUVL,9,0,-9
OKTA,2,0,-2
OPEN,2,0,-2
PATH,1,0,-1
PTCT,1,0,-1
REPX,0,1,1
RGTI,2,0,-2
SHEN,0,4,4
TOL,1,0,-1
UPST,2,0,-2
UWMC,3,0,-3
W,1,0,-1
WMT,1,0,-1
XYZ,2,0,-2
ZSPC,3,0,-3
