ticker,sales,purchases,net_activity
A,1,0,-1
AAPL,2,0,-2
ABT,1,0,-1
ACGL,1,0,-1
ADBE,1,1,0
ADI,1,0,-1
ADP,1,0,-1
ADSK,1,0,-1
AEO,1,1,0
AIG,1,0,-1
AKAM,1,0,-1
ALB,1,0,-1
ALNY,1,0,-1
AMAT,2,0,-2
AMD,1,1,0
AMGN,1,0,-1
AMT,1,0,-1
AMZN,1,0,-1
ANET,2,0,-2
AON,1,0,-1
APP,1,0,-1
APTV,2,0,-2
ARES,1,0,-1
AVGO,1,0,-1
AWK,1,0,-1
AXON,1,0,-1
AXP,1,1,0
AZO,1,0,-1
BA,1,0,-1
BAC,1,1,0
BALL,2,0,-2
BKE,1,0,-1
BKNG,1,0,-1
BLK,2,0,-2
BMY,1,0,-1
BRK.B,1,0,-1
BSX,1,0,-1
BUSE,1,0,-1
CAT,1,0,-1
CB,2,0,-2
CBOE,1,0,-1
CCI,1,0,-1
CCL,1,1,0
CDNS,1,0,-1
CEG,1,1,0
CG,1,0,-1
CHTR,1,0,-1
CI,1,0,-1
CMCSA,1,0,-1
CME,1,0,-1
CMG,1,0,-1
CNC,1,0,-1
CNO,1,0,-1
COIN,1,1,0
COP,1,0,-1
COR,1,0,-1
COST,1,0,-1
CPRT,1,0,-1
CRL,1,1,0
CRM,1,2,1
CRWD,1,0,-1
CSCO,1,0,-1
CSGP,1,0,-1
CSX,1,0,-1
CTAS,2,0,-2
CTRA,2,0,-2
CVS,1,0,-1
CVX,2,0,-2
CWST,1,0,-1
DAL,1,1,0
DASH,1,0,-1
DE,1,0,-1
DG,1,0,-1
DHR,1,1,0
DIS,1,1,0
DVN,1,1,0
DXCM,1,1,0
ECL,1,0,-1
ELV,1,0,-1
EPAM,1,0,-1
ESTC,1,0,-1
EW,1,0,-1
EXPO,1,0,-1
FI,1,0,-1
FIS,1,0,-1
GWRE,1,0,-1
JPM,1,0,-1
LULU,1,0,-1
MCD,1,0,-1
MMM,1,0,-1
NU,1,0,-1
NVDA,0,2,2
OKTA,1,0,-1
SNOW,0,2,2
TSCO,0,1,1
TSLA,0,1,1
VEEV,0,1,1
