ticker,sales,purchases,net_activity
(CALX),1,0,-1
ADSK,1,0,-1
AGX,4,0,-4
AI,4,0,-4
AISP,1,0,-1
AKBA,1,0,-1
ALSN,1,0,-1
AMWL,1,0,-1
ANNX,0,1,1
AYI,1,0,-1
BKV,2,0,-2
BMNM,0,2,2
BOX,1,0,-1
BXSY,0,2,2
CASY,0,1,1
CCIF,0,1,1
CDXS,0,1,1
CHH,2,0,-2
CIEN,2,0,-2
CLYM,1,0,-1
CNA,1,0,-1
CPF,1,0,-1
CSTL,7,0,-7
CURV,1,4,3
CVNA,30,0,-30
DASH,8,0,-8
DLPN,0,1,1
DXCM,1,0,-1
ELVN,2,0,-2
EONR,0,1,1
FGBI,0,2,2
FIGX,0,1,1
FL,1,0,-1
FROPX,0,1,1
GME,0,1,1
GOOGL,2,0,-2
GRAL,1,0,-1
HIMS,1,0,-1
HLI,1,0,-1
HLT,0,1,1
HOV,1,0,-1
HURC,0,2,2
IDCC,1,0,-1
INTG,0,2,2
ISSC,6,0,-6
JBL,2,0,-2
KFFB,1,0,-1
KFS,6,2,-4
KYMR,0,4,4
LASR,2,0,-2
LIF,1,0,-1
META,22,0,-22
MYPS,2,0,-2
NG,0,1,1
OCSL,0,1,1
ORA,1,0,-1
ORCL,5,0,-5
PATH,3,0,-3
PINS,2,0,-2
PLAB,0,2,2
PLUR,0,2,2
PMFLX,0,1,1
PRM,0,1,1
PRME,0,1,1
QURE,1,0,-1
RCG,0,14,14
RVP,0,2,2
RVYL,0,4,4
SDOT,2,0,-2
SEZL,3,0,-3
SGA,1,0,-1
SION,0,1,1
SNOW,26,0,-26
SOAR,3,0,-3
SONM,2,0,-2
SPG,0,1,1
SPRY,2,0,-2
STKS,1,0,-1
SWZ,0,1,1
TKNO,1,0,-1
TMUS,12,0,-12
TPL,0,2,2
TTAN,27,0,-27
VENU,5,0,-5
VIAV,1,0,-1
VMD,4,0,-4
XIVYX,0,1,1
YUM,2,0,-2
